size                 user_time            nonterminal_nodes    intermediate_nodes   terminal_nodes  packed_nodes    ambiguous_nodes
10                   1                    55                   45                   10              460             72             
10                   0                    55                   45                   10              460             72             
10                   0                    55                   45                   10              460             72             
10                   0                    55                   45                   10              460             72             
10                   0                    55                   45                   10              460             72             
10                   0                    55                   45                   10              460             72             
10                   0                    55                   45                   10              460             72             
10                   0                    55                   45                   10              460             72             
10                   0                    55                   45                   10              460             72             
10                   0                    55                   45                   10              460             72             
20                   2                    210                  190                  20              3820            342            
20                   2                    210                  190                  20              3820            342            
20                   2                    210                  190                  20              3820            342            
20                   2                    210                  190                  20              3820            342            
20                   2                    210                  190                  20              3820            342            
20                   1                    210                  190                  20              3820            342            
20                   1                    210                  190                  20              3820            342            
20                   1                    210                  190                  20              3820            342            
20                   1                    210                  190                  20              3820            342            
20                   1                    210                  190                  20              3820            342            
30                   3                    465                  435                  30              13080           812            
30                   3                    465                  435                  30              13080           812            
30                   2                    465                  435                  30              13080           812            
30                   2                    465                  435                  30              13080           812            
30                   3                    465                  435                  30              13080           812            
30                   2                    465                  435                  30              13080           812            
30                   2                    465                  435                  30              13080           812            
30                   2                    465                  435                  30              13080           812            
30                   2                    465                  435                  30              13080           812            
30                   2                    465                  435                  30              13080           812            
40                   4                    820                  780                  40              31240           1482           
40                   5                    820                  780                  40              31240           1482           
40                   4                    820                  780                  40              31240           1482           
40                   3                    820                  780                  40              31240           1482           
40                   3                    820                  780                  40              31240           1482           
40                   3                    820                  780                  40              31240           1482           
40                   3                    820                  780                  40              31240           1482           
40                   3                    820                  780                  40              31240           1482           
40                   3                    820                  780                  40              31240           1482           
40                   3                    820                  780                  40              31240           1482           
50                   9                    1275                 1225                 50              61300           2352           
50                   6                    1275                 1225                 50              61300           2352           
50                   6                    1275                 1225                 50              61300           2352           
50                   6                    1275                 1225                 50              61300           2352           
50                   8                    1275                 1225                 50              61300           2352           
50                   7                    1275                 1225                 50              61300           2352           
50                   6                    1275                 1225                 50              61300           2352           
50                   6                    1275                 1225                 50              61300           2352           
50                   6                    1275                 1225                 50              61300           2352           
50                   6                    1275                 1225                 50              61300           2352           
60                   11                   1830                 1770                 60              106260          3422           
60                   11                   1830                 1770                 60              106260          3422           
60                   11                   1830                 1770                 60              106260          3422           
60                   11                   1830                 1770                 60              106260          3422           
60                   11                   1830                 1770                 60              106260          3422           
60                   11                   1830                 1770                 60              106260          3422           
60                   11                   1830                 1770                 60              106260          3422           
60                   11                   1830                 1770                 60              106260          3422           
60                   12                   1830                 1770                 60              106260          3422           
60                   11                   1830                 1770                 60              106260          3422           
70                   18                   2485                 2415                 70              169120          4692           
70                   18                   2485                 2415                 70              169120          4692           
70                   17                   2485                 2415                 70              169120          4692           
70                   19                   2485                 2415                 70              169120          4692           
70                   18                   2485                 2415                 70              169120          4692           
70                   18                   2485                 2415                 70              169120          4692           
70                   18                   2485                 2415                 70              169120          4692           
70                   18                   2485                 2415                 70              169120          4692           
70                   18                   2485                 2415                 70              169120          4692           
70                   18                   2485                 2415                 70              169120          4692           
80                   27                   3240                 3160                 80              252880          6162           
80                   25                   3240                 3160                 80              252880          6162           
80                   26                   3240                 3160                 80              252880          6162           
80                   26                   3240                 3160                 80              252880          6162           
80                   27                   3240                 3160                 80              252880          6162           
80                   26                   3240                 3160                 80              252880          6162           
80                   25                   3240                 3160                 80              252880          6162           
