size                 user_time            descriptors          nonterminal_nodes    intermediate_nodes     terminal_nodes  packed_nodes    ambiguities
10                   0                    1203                 55                   45                     10              460             72             
10                   0                    1203                 55                   45                     10              460             72             
10                   0                    1203                 55                   45                     10              460             72             
10                   0                    1203                 55                   45                     10              460             72             
10                   0                    1203                 55                   45                     10              460             72             
10                   0                    1203                 55                   45                     10              460             72             
10                   0                    1203                 55                   45                     10              460             72             
10                   0                    1203                 55                   45                     10              460             72             
10                   0                    1203                 55                   45                     10              460             72             
10                   0                    1203                 55                   45                     10              460             72             
20                   4                    4878                 210                  190                    20              3820            342            
20                   4                    4878                 210                  190                    20              3820            342            
20                   3                    4878                 210                  190                    20              3820            342            
20                   3                    4878                 210                  190                    20              3820            342            
20                   3                    4878                 210                  190                    20              3820            342            
20                   3                    4878                 210                  190                    20              3820            342            
20                   3                    4878                 210                  190                    20              3820            342            
20                   6                    4878                 210                  190                    20              3820            342            
20                   3                    4878                 210                  190                    20              3820            342            
20                   3                    4878                 210                  190                    20              3820            342            
30                   13                   11053                465                  435                    30              13080           812            
30                   15                   11053                465                  435                    30              13080           812            
30                   12                   11053                465                  435                    30              13080           812            
30                   15                   11053                465                  435                    30              13080           812            
30                   13                   11053                465                  435                    30              13080           812            
30                   15                   11053                465                  435                    30              13080           812            
30                   11                   11053                465                  435                    30              13080           812            
30                   16                   11053                465                  435                    30              13080           812            
30                   16                   11053                465                  435                    30              13080           812            
30                   12                   11053                465                  435                    30              13080           812            
40                   35                   19728                820                  780                    40              31240           1482           
40                   32                   19728                820                  780                    40              31240           1482           
40                   33                   19728                820                  780                    40              31240           1482           
40                   34                   19728                820                  780                    40              31240           1482           
40                   29                   19728                820                  780                    40              31240           1482           
40                   33                   19728                820                  780                    40              31240           1482           
40                   29                   19728                820                  780                    40              31240           1482           
40                   28                   19728                820                  780                    40              31240           1482           
40                   30                   19728                820                  780                    40              31240           1482           
40                   28                   19728                820                  780                    40              31240           1482           
50                   59                   30903                1275                 1225                   50              61300           2352           
50                   60                   30903                1275                 1225                   50              61300           2352           
50                   59                   30903                1275                 1225                   50              61300           2352           
50                   65                   30903                1275                 1225                   50              61300           2352           
50                   62                   30903                1275                 1225                   50              61300           2352           
50                   60                   30903                1275                 1225                   50              61300           2352           
50                   65                   30903                1275                 1225                   50              61300           2352           
50                   61                   30903                1275                 1225                   50              61300           2352           
50                   62                   30903                1275                 1225                   50              61300           2352           
50                   60                   30903                1275                 1225                   50              61300           2352           
60                   108                  44578                1830                 1770                   60              106260          3422           
60                   106                  44578                1830                 1770                   60              106260          3422           
60                   106                  44578                1830                 1770                   60              106260          3422           
60                   104                  44578                1830                 1770                   60              106260          3422           
60                   112                  44578                1830                 1770                   60              106260          3422           
60                   109                  44578                1830                 1770                   60              106260          3422           
60                   114                  44578                1830                 1770                   60              106260          3422           
60                   106                  44578                1830                 1770                   60              106260          3422           
60                   106                  44578                1830                 1770                   60              106260          3422           
60                   106                  44578                1830                 1770                   60              106260          3422           
70                   180                  60753                2485                 2415                   70              169120          4692           
70                   179                  60753                2485                 2415                   70              169120          4692           
70                   175                  60753                2485                 2415                   70              169120          4692           
70                   175                  60753                2485                 2415                   70              169120          4692           
70                   186                  60753                2485                 2415                   70              169120          4692           
70                   181                  60753                2485                 2415                   70              169120          4692           
70                   176                  60753                2485                 2415                   70              169120          4692           
70                   175                  60753                2485                 2415                   70              169120          4692           
70                   177                  60753                2485                 2415                   70              169120          4692           
70                   175                  60753                2485                 2415                   70              169120          4692           
80                   278                  79428                3240                 3160                   80              252880          6162           
80                   274                  79428                3240                 3160                   80              252880          6162           
80                   272                  79428                3240                 3160                   80              252880          6162           
80                   287                  79428                3240                 3160                   80              252880          6162           
80                   274                  79428                3240                 3160                   80              252880          6162           
80                   274                  79428                3240                 3160                   80              252880          6162           
80                   278                  79428                3240                 3160                   80              252880          6162           
80                   283                  79428                3240                 3160                   80              252880          6162           
80                   270                  79428                3240                 3160                   80              252880          6162           
80                   255                  79428                3240                 3160                   80              252880          6162           
90                   408                  100603               4095                 4005                   90              360540          7832           
90                   398                  100603               4095                 4005                   90              360540          7832           
90                   403                  100603               4095                 4005                   90              360540          7832           
90                   395                  100603               4095                 4005                   90              360540          7832           
90                   423                  100603               4095                 4005                   90              360540          7832           
90                   411                  100603               4095                 4005                   90              360540          7832           
90                   400                  100603               4095                 4005                   90              360540          7832           
90                   400                  100603               4095                 4005                   90              360540          7832           
90                   400                  100603               4095                 4005                   90              360540          7832           
90                   399                  100603               4095                 4005                   90              360540          7832           
100                  554                  124278               5050                 4950                   100             495100          9702           
100                  557                  124278               5050                 4950                   100             495100          9702           
100                  538                  124278               5050                 4950                   100             495100          9702           
100                  574                  124278               5050                 4950                   100             495100          9702           
100                  553                  124278               5050                 4950                   100             495100          9702           
100                  563                  124278               5050                 4950                   100             495100          9702           
100                  559                  124278               5050                 4950                   100             495100          9702           
100                  562                  124278               5050                 4950                   100             495100          9702           
100                  556                  124278               5050                 4950                   100             495100          9702           
100                  555                  124278               5050                 4950                   100             495100          9702           
110                  758                  150453               6105                 5995                   110             659560          11772          
110                  721                  150453               6105                 5995                   110             659560          11772          
110                  763                  150453               6105                 5995                   110             659560          11772          
110                  762                  150453               6105                 5995                   110             659560          11772          
110                  751                  150453               6105                 5995                   110             659560          11772          
110                  756                  150453               6105                 5995                   110             659560          11772          
110                  747                  150453               6105                 5995                   110             659560          11772          
110                  766                  150453               6105                 5995                   110             659560          11772          
110                  766                  150453               6105                 5995                   110             659560          11772          
110                  771                  150453               6105                 5995                   110             659560          11772          
120                  995                  179128               7260                 7140                   120             856920          14042          
120                  1003                 179128               7260                 7140                   120             856920          14042          
120                  1019                 179128               7260                 7140                   120             856920          14042          
120                  995                  179128               7260                 7140                   120             856920          14042          
120                  991                  179128               7260                 7140                   120             856920          14042          
120                  995                  179128               7260                 7140                   120             856920          14042          
120                  1011                 179128               7260                 7140                   120             856920          14042          
120                  1005                 179128               7260                 7140                   120             856920          14042          
120                  1002                 179128               7260                 7140                   120             856920          14042          
120                  999                  179128               7260                 7140                   120             856920          14042          
130                  1240                 210303               8515                 8385                   130             1090180         16512          
130                  1296                 210303               8515                 8385                   130             1090180         16512          
130                  1316                 210303               8515                 8385                   130             1090180         16512          
130                  1314                 210303               8515                 8385                   130             1090180         16512          
130                  1273                 210303               8515                 8385                   130             1090180         16512          
130                  1339                 210303               8515                 8385                   130             1090180         16512          
130                  1316                 210303               8515                 8385                   130             1090180         16512          
130                  1312                 210303               8515                 8385                   130             1090180         16512          
130                  1315                 210303               8515                 8385                   130             1090180         16512          
130                  1276                 210303               8515                 8385                   130             1090180         16512          
140                  1651                 243978               9870                 9730                   140             1362340         19182          
140                  1681                 243978               9870                 9730                   140             1362340         19182          
140                  1658                 243978               9870                 9730                   140             1362340         19182          
140                  1676                 243978               9870                 9730                   140             1362340         19182          
140                  1690                 243978               9870                 9730                   140             1362340         19182          
140                  1661                 243978               9870                 9730                   140             1362340         19182          
140                  1604                 243978               9870                 9730                   140             1362340         19182          
140                  1655                 243978               9870                 9730                   140             1362340         19182          
140                  1666                 243978               9870                 9730                   140             1362340         19182          
140                  1655                 243978               9870                 9730                   140             1362340         19182          
150                  2036                 280153               11325                11175                  150             1676400         22052          
150                  2061                 280153               11325                11175                  150             1676400         22052          
150                  2063                 280153               11325                11175                  150             1676400         22052          
150                  2027                 280153               11325                11175                  150             1676400         22052          
150                  2084                 280153               11325                11175                  150             1676400         22052          
150                  2052                 280153               11325                11175                  150             1676400         22052          
150                  2024                 280153               11325                11175                  150             1676400         22052          
150                  2037                 280153               11325                11175                  150             1676400         22052          
150                  2056                 280153               11325                11175                  150             1676400         22052          
150                  2015                 280153               11325                11175                  150             1676400         22052          
160                  2553                 318828               12880                12720                  160             2035360         25122          
160                  2467                 318828               12880                12720                  160             2035360         25122          
160                  2527                 318828               12880                12720                  160             2035360         25122          
160                  2525                 318828               12880                12720                  160             2035360         25122          
160                  2427                 318828               12880                12720                  160             2035360         25122          
160                  2519                 318828               12880                12720                  160             2035360         25122          
160                  2451                 318828               12880                12720                  160             2035360         25122          
160                  2533                 318828               12880                12720                  160             2035360         25122          
160                  2538                 318828               12880                12720                  160             2035360         25122          
160                  2422                 318828               12880                12720                  160             2035360         25122          
170                  3045                 360003               14535                14365                  170             2442220         28392          
170                  2946                 360003               14535                14365                  170             2442220         28392          
